timer                                                                        ms      calls
------------------------------------------------------------------------------------------
LOCK_FINDER_BOTTOMUP                                                          0          1
RELAX_BLOCK_FN                                                                0          1
RELAX_GETLOCK                                                                 0          1
RELAX_LOCKS                                                                   0          1
RELAX_UPDATE_STATE                                                            0          1
RELAX_SERVLET_ATTRIBUTE                                                       0          1
RELAX_LOCK_STATE                                                              0          1
DUMMY_DERIVER_CONCURRENCY                                                     0          1
IFACE_TRACKER                                                                 0          7
LOCK_FINDER_TOPDOWN                                                           0          1
LOCK_ORDER                                                                    0          1
THREAD_CONTEXT                                                                0          1
ALLOC_FREE_MISMATCH_pass1                                                     0          1
ALLOC_FREE_MISMATCH_pass2                                                     0          1
MISSING_PERMISSION_FOR_BROADCAST_pass1                                        0          1
MISSING_PERMISSION_FOR_BROADCAST_pass2                                        0          1
ARRAY_VS_SINGLETON_pass1                                                      0          1
ARRAY_VS_SINGLETON_pass2                                                      0          1
ASSERT_SIDE_EFFECT                                                            0          1
ATOMICITY_pass1                                                               0          1
ATOMICITY_pass2                                                               0          1
SERVLET_ATOMICITY_pass1                                                       0          1
SERVLET_ATOMICITY_pass2                                                       0          1
BAD_ALLOC_ARITHMETIC                                                          0          1
BAD_ALLOC_STRLEN                                                              0          1
BAD_CHECK_OF_WAIT_COND                                                        0          1
BAD_COMPARE                                                                   0          1
BAD_EQ                                                                        0          1
BAD_EQ_TYPES                                                                  0          1
BAD_FREE_pass1                                                                0          1
BAD_FREE_pass2                                                                0          1
IMPLICIT_INTENT_pass1                                                         0          1
IMPLICIT_INTENT_pass2                                                         0          1
__BAD_CERT_VERIFICATION_ABSTRACT_INTERPRETATION_pass1                         0          1
__BAD_CERT_VERIFICATION_ABSTRACT_INTERPRETATION_pass2                         0          1
EXPOSED_PREFERENCES                                                           0          1
BAD_LOCK_OBJECT_pass1                                                         0          1
BAD_LOCK_OBJECT_pass2                                                         0          1
BAD_SHIFT_pass1                                                               0          1
BAD_SHIFT_pass2                                                               0          1
BAD_SIZEOF                                                                    0          1
BUFFER_SIZE_pass1                                                             0          1
BUFFER_SIZE_pass2                                                             0          1
CALL_SUPER                                                                    0          1
CHAR_IO                                                                       0          1
CHECKED_RETURN_pass1                                                          0          1
CHECKED_RETURN_pass2                                                          0          1
CHROOT_pass1                                                                  0          1
CHROOT_pass2                                                                  0          1
COM.BAD_FREE_pass1                                                            0          1
COM.BAD_FREE_pass2                                                            0          1
COM.BSTR.CONV                                                                 0          1
CONSTANT_EXPRESSION_RESULT                                                    0          1
COPY_PASTE_ERROR                                                              0          1
CUDA.DIVERGENCE_AT_COLLECTIVE_OPERATION_pass1                                 0          1
CUDA.DIVERGENCE_AT_COLLECTIVE_OPERATION_pass2                                 0          1
STRING_GRAPH_CRYPTO                                                           0          1
__RISKY_CRYPTO_ABSTRACT_INTERPRETATION_pass1                                  0          1
__RISKY_CRYPTO_ABSTRACT_INTERPRETATION_pass2                                  0          1
CTOR_DTOR_LEAK_pass1                                                          0          1
CTOR_DTOR_LEAK_pass2                                                          0          1
CUDA.INACTIVE_THREAD_AT_COLLECTIVE_WARP_pass1                                 0          1
CUDA.INACTIVE_THREAD_AT_COLLECTIVE_WARP_pass2                                 0          1
DEADCODE_pass1                                                                0          1
DEADCODE_pass2                                                                0          1
DELETE_ARRAY_pass1                                                            0          1
DELETE_ARRAY_pass2                                                            0          1
DELETE_VOID                                                                   0          1
USE_AFTER_FREE_pass1                                                          0          1
USE_AFTER_FREE_pass2                                                          0          1
DIVIDE_BY_ZERO_pass1                                                          0          1
DIVIDE_BY_ZERO_pass2                                                          0          1
EVALUATION_ORDER                                                              0          1
EXPLICIT_THIS_EXPECTED_pass1                                                  0          1
EXPLICIT_THIS_EXPECTED_pass2                                                  0          1
FORMAT_STRING_INJECTION_pass1                                                 0          1
FORMAT_STRING_INJECTION_pass2                                                 0          1
FORWARD_NULL_pass1                                                            0          1
FORWARD_NULL_pass2                                                            0          1
GUARDED_BY_VIOLATION_pass1                                                    0          1
GUARDED_BY_VIOLATION_pass2                                                    0          1
HIBERNATE_BAD_HASHCODE                                                        0          1
ORM_UNNECESSARY_GET_pass1                                                     0          1
ORM_UNNECESSARY_GET_pass2                                                     0          1
IDENTIFIER_TYPO                                                               0          1
IDENTICAL_BRANCHES                                                            0          1
INCOMPATIBLE_CAST                                                             0          1
INFINITE_LOOP                                                                 0          1
INVALIDATE_ITERATOR                                                           0          1
  INVALIDATE_ITERATOR_pass1                                                   0          2
  INVALIDATE_ITERATOR_pass2                                                   0          2
LOCK_EVASION                                                                  0          1
LOCK_pass1                                                                    0          1
LOCK_pass2                                                                    0          1
LOCK_STATE_pass1                                                              0          1
LOCK_STATE_pass2                                                              0          1
LOCK_INVERSION_pass1                                                          0          1
LOCK_INVERSION_pass2                                                          0          1
MISMATCHED_ITERATOR_pass1                                                     0          1
MISMATCHED_ITERATOR_pass2                                                     0          1
MISSING_BREAK                                                                 0          1
MISSING_COMMA                                                                 0          1
MISSING_LOCK_pass1                                                            0          1
MISSING_LOCK_pass2                                                            0          1
MISSING_RESTORE_pass1                                                         0          1
MISSING_RESTORE_pass2                                                         0          1
MISSING_RETURN_pass1                                                          0          1
MISSING_RETURN_pass2                                                          0          1
MISSING_THROW                                                                 0          1
NEGATIVE_RETURNS_pass1                                                        0          1
NEGATIVE_RETURNS_pass2                                                        0          1
NESTING_INDENT_MISMATCH                                                       0          1
NO_EFFECT                                                                     0          1
NON_STATIC_GUARDING_STATIC                                                    0          1
NULL_RETURNS_pass1                                                            0          1
NULL_RETURNS_pass2                                                            0          1
OPEN_ARGS                                                                     0          1
ORDER_REVERSAL_pass1                                                          0          1
ORDER_REVERSAL_pass2                                                          0          1
ORM_LOAD_NULL_CHECK_pass1                                                     0          1
ORM_LOAD_NULL_CHECK_pass2                                                     0          1
__OS_CMD_INJECTION_CPP_pass1                                                  0          1
__OS_CMD_INJECTION_CPP_pass2                                                  0          1
OVERFLOW_BEFORE_WIDEN_pass1                                                   0          1
OVERFLOW_BEFORE_WIDEN_pass2                                                   0          1
OVERLAPPING_COPY_INTERNAL                                                     0          1
OVERRUN_pass1                                                                 0          1
OVERRUN_pass2                                                                 0          1
OVERRUN_SYMBOLIC_pass1                                                        0          1
OVERRUN_SYMBOLIC_pass2                                                        0          1
PASS_BY_VALUE                                                                 0          1
__PATH_MANIPULATION_CPP_pass1                                                 0          1
__PATH_MANIPULATION_CPP_pass2                                                 0          1
PRINTF_ARGS                                                                   0          1
PROPERTY_MIXUP                                                                0          1
READLINK_pass1                                                                0          1
READLINK_pass2                                                                0          1
REGEX_CONFUSION                                                               0          1
RESOURCE_LEAK_pass1                                                           0          1
RESOURCE_LEAK_pass2                                                           0          1
RETURN_LOCAL_pass1                                                            0          1
RETURN_LOCAL_pass2                                                            0          1
REVERSE_NEGATIVE_pass1                                                        0          1
REVERSE_NEGATIVE_pass2                                                        0          1
REVERSE_INULL                                                                 0          1
SECURE_TEMP_pass1                                                             0          1
SECURE_TEMP_pass2                                                             0          1
__SENSITIVE_DATA_LEAK_CPP_pass1                                               0          1
__SENSITIVE_DATA_LEAK_CPP_pass2                                               0          1
SIGN_EXTENSION                                                                0          1
SINGLETON_RACE_pass1                                                          0          1
SINGLETON_RACE_pass2                                                          0          1
